    TM-score	P-value
GRAP	0.0374	0.568882465362549
GSTO1	0.0345	0.407772421836853
HIF1A	0.0085	0.441076099872589
HMBS	0.0172	0.447656273841858
HMOX1	0.0482	0.486653685569763
HP	0.0252	0.524400949478149
HPN	0.0268	0.574130892753601
HRAS	0.0010	0.423970103263855
HSP90B2P	0.0108	0.425736844539642
HSPG2	0.0329	0.345627546310425
IGF1	-0.0028	0.592113733291626
IGFBP2	0.0137	0.480976581573486
IGFBP7	0.0282	0.436986267566681
IL10	0.0057	0.581101179122925
IL1B	0.0176	0.513192296028137
IL6	0.0025	0.593750476837158
JAG1	0.0154	0.501372098922729
KEL	0.0179	0.625055432319641
KNG1	0.0008	0.611692070960999
LIMK1	0.0637	0.400279462337494
LOX	0.0921	0.561694622039795
LOXL1	0.0264	0.469391822814941
LOXL2	0.0363	0.567884504795074
LOXL3	0.0420	0.497379302978516
LOXL4	0.0417	0.519641697406769
LPA	0.0398	0.573510587215424
LTBP4	0.0404	0.562724590301514
MAPK7	0.0252	0.481772601604462
MFAP4	0.0956	0.535452842712402
MMP1	0.0086	0.491632580757141
MMP12	0.0201	0.601598083972931
MMP2	0.1111	0.585369467735291
MMP3	0.0279	0.549884676933289
MMP7	0.0170	0.552057027816772
MMP9	0.1754	0.544563174247742
MPRIP	0.0420	1
MTHFR	0.0108	0.440952241420746
MTMR11	0.0269	0.484648585319519
MTR	0.0164	0.448448359966278
MTRR	0.0257	0.445711493492126
NFKB1	-0.0032	0.461025893688202
NOS1	0.0071	0.615108489990234
NOS2	0.0793	1
NOS3	0.3540	0.600324749946594
NPR1	0.0051	0.581037878990173
OFD1	0.0335	0.436356008052826
PAQR7	0.0328	0.486701548099518
PCNA	0.0031	0.452120542526245
PDGFB	0.0144	0.619665503501892
PDK2	0.0309	0.529576539993286
PKD1	0.4440	0.561278462409973
PKD2	0.0608	0.480817794799805
PLCD1	0.0297	0.55445671081543
PPM2C	0.0157	0.427730202674866
PRG2	0.0233	0.575456500053406
PRKD1	0.0201	0.577439665794373
PTEN	0.0107	0.483735024929047
RAI1	0.0349	0.52356219291687
RASA1	0.0232	0.461765348911285
REN	-0.0031	0.611735463142395
S100A11	0.0300	0.40924072265625
SEPT4	0.0325	0.599923849105835
SERPINA1	0.1921	0.505771458148956
SERPINA3	0.0141	0.566330075263977
SERPINC1	0.0028	0.637559652328491
SERPINE1	0.0698	0.546206712722778
SLC19A1	0.0224	0.51928699016571
SLC6A3	0.0126	0.587205290794373
SOX17	0.0310	0.551356554031372
SPARC	0.0394	0.463854074478149
SPARCL1	0.0781	0.544848322868347
SPP1	0.0091	0.493586361408234
SREBF1	0.0160	0.480655193328857
TCN2	0.0214	0.575578689575195
TF	-0.0003	0.624647259712219
TGFB1	0.0068	0.469488084316254
TGFBI	0.0239	0.452670037746429
TGFBR2	0.0138	0.497942447662354
TGFBRE	0.0701	0.478551685810089
TIMP1	0.1667	0.452793776988983
TIMP2	0.1020	0.458097457885742
TIMP3	0.0707	0.551568031311035
TNF	0.0045	0.599418997764587
TNFRSF13B	0.0268	0.593127369880676
TRPC1	0.0241	0.494169652462006
TRPC4	0.0257	0.561313390731812
TSPAN5	0.0442	0.536743640899658
VCAM1	0.0751	0.569470167160034
VCAN	0.0448	0.489132642745972
VEGFA	0.0044	0.49262011051178
VLDLR	0.0213	0.51815938949585
VWF	0.0028	0.57615077495575
